field,fieldname_eu,fieldname_es,fieldname_en
b5mcode,Katalogoko elementuaren kodea,El código del elemento en el catálogo,The catalogue item code
name,Hondartzaren izena,Nombre de la playa,Beach name
name_eu,Hondartzaren izena euskaraz,Nombre de la playa en euskera,Beach name in Basque
name_es,Hondartzaren izena gaztelaniaz,Nombre de la playa en castellano,Beach name in Spanish
codmuni,Udalerri kodea,Código municipal,Municipal code
munis_eu,Udalerriaren izena euskaraz,Nombre del municipio en euskera,Municipality name in Basque
munis_es,Udalerriaren izena gaztelaniaz,Nombre del municipio en castellano,Municipality name in Spanish
type_eu,Hondartzaren mota euskaraz,Tipo de playa en euskera,Beach type in Basque
type_es,Hondartzaren mota gaztelaniaz,Tipo de playa en castellano,Beach type in Spanish
type_en,Hondartzaren mota ingelesez,Tipo de playa en inglés,Beach type in English
b5midut,B5M erregistroaren identifikadorea,Identificador del registro B5M,B5M record identifier
b5midname,B5M izen identifikadorea,Identificador de nombre B5M,B5M name identifier
geom,Geometria (poligonoa),Geometría (polígono),Geometry (polygon)
