b5mcode,"B5M kodea","Código B5M","B5M code"
codmuni1,"Udalerri kodea (1)","Código municipal (1)","Municipal code (1)"
muni1_eu,"Udalerriaren izena euskaraz (1)","Nombre del municipio en euskera (1)","Municipality name in Basque (1)"
muni1_es,"Udalerriaren izena gaztelaniaz (1)","Nombre del municipio en castellano (1)","Municipality name in Spanish (1)"
codregion1,"Eskualde kodea (1)","Código de región (1)","Region code (1)"
region1_eu,"Eskualdearen izena euskaraz (1)","Nombre de la región en euskera (1)","Region name in Basque (1)"
region1_es,"Eskualdearen izena gaztelaniaz (1)","Nombre de la región en castellano (1)","Region name in Spanish (1)"
codmuni2,"Udalerri kodea (2)","Código municipal (2)","Municipal code (2)"
muni2_eu,"Udalerriaren izena euskaraz (2)","Nombre del municipio en euskera (2)","Municipality name in Basque (2)"
muni2_es,"Udalerriaren izena gaztelaniaz (2)","Nombre del municipio en castellano (2)","Municipality name in Spanish (2)"
codregion2,"Eskualde kodea (2)","Código de región (2)","Region code (2)"
region2_eu,"Eskualdearen izena euskaraz (2)","Nombre de la región en euskera (2)","Region name in Basque (2)"
region2_es,"Eskualdearen izena gaztelaniaz (2)","Nombre de la región en castellano (2)","Region name in Spanish (2)"
distance_km,"Distantzia (km)","Distancia (km)","Distance (km)"
datecalculation,"Kalkulu data","Fecha de cálculo","Calculation date"
