b5mcode,"Katalogoko elementuaren kodea","El código del elemento en el catálogo","The catalogue item code"
name,"Kilometro puntuaren izena","Nombre del punto kilométrico","Kilometer point name"
name_eu,"Kilometro puntuaren izena euskaraz","Nombre del punto kilométrico en euskera","Kilometer point name in Basque"
name_es,"Kilometro puntuaren izena gaztelaniaz","Nombre del punto kilométrico en castellano","Kilometer point name in Spanish"
kp,"Kilometro puntua","Punto kilométrico","Kilometer point"
b5code_road,"Errepidearen kodea","Código de la carretera","Road code"
road_name_eu,"Errepidearen izena euskaraz","Nombre de la carretera en euskera","Road name in Basque"
road_name_es,"Errepidearen izena gaztelaniaz","Nombre de la carretera en castellano","Road name in Spanish"
way_eu,"Norabidea euskaraz","Dirección en euskera","Direction in Basque"
way_es,"Norabidea gaztelaniaz","Dirección en castellano","Direction in Spanish"
way_en,"Norabidea ingelesez","Dirección en inglés","Direction in English"
codmuni,"Udalerri kodea","Código municipal","Municipal code"
muni_eu,"Udalerriaren izena euskaraz","Nombre del municipio en euskera","Municipality name in Basque"
muni_es,"Udalerriaren izena gaztelaniaz","Nombre del municipio en castellano","Municipality name in Spanish"
b5midut,"B5M erregistroaren identifikadorea","Identificador del registro B5M","B5M record identifier"
b5midname,"B5M izen identifikadorea","Identificador de nombre B5M","B5M name identifier"
geom,"Geometria (puntua)","Geometría (punto)","Geometry (point)"
