b5mcode,"Katalogoko elementuaren kodea","El código del elemento en el catálogo","The catalogue item code"
codmuni,"Udalerri kodea","Código municipal","Municipal code"
codmuniine,"INE kodea","Código INE","INE code"
name,"Udalerriaren izena","Nombre del municipio","Municipality name"
name_eu,"Udalerriaren izena euskaraz","Nombre del municipio en euskera","Municipality name in Basque"
name_es,"Udalerriaren izena gaztelaniaz","Nombre del municipio en castellano","Municipality name in Spanish"
enclave_eu,"Enklabearen izena euskaraz","Nombre del enclave en euskera","Enclave name in Basque"
enclave_es,"Enklabearen izena gaztelaniaz","Nombre del enclave en castellano","Enclave name in Spanish"
region_eu,"Eskualdearen izena euskaraz","Nombre de la región en euskera","Region name in Basque"
region_es,"Eskualdearen izena gaztelaniaz","Nombre de la región en castellano","Region name in Spanish"
b5midut,"B5M erregistroaren identifikadorea","Identificador del registro B5M","B5M record identifier"
b5midname,"B5M izen identifikadorea","Identificador de nombre B5M","B5M name identifier"
geom,"Geometria (poligonoa)","Geometría (polígono)","Geometry (polygon)"
