b5mcode,Katalogoko elementuaren kodea,El código del elemento en el catálogo,The catalogue item code
name,Mugaren izena,Nombre del mojón,Landmark name
codetype,Kode mota,Tipo de código,Code type
type_eu,Mota euskaraz,Tipo en euskera,Type in Basque
type_es,Mota gaztelaniaz,Tipo en castellano,Type in Spanish
type_en,Mota ingelesez,Tipo en inglés,Type in English
codeprecission,Doitasun kodea,Código de precisión,Precision code
precission_eu,Doitasuna euskaraz,Precisión en euskera,Precision in Basque
precissioncomment_eu,Doitasunaren iruzkina euskaraz,Comentario de precisión en euskera,Precision comment in Basque
precission_es,Doitasuna gaztelaniaz,Precisión en castellano,Precision in Spanish
precissioncomment_es,Doitasunaren iruzkina gaztelaniaz,Comentario de precisión en castellano,Precision comment in Spanish
precission_en,Doitasuna ingelesez,Precisión en inglés,Precision in English
precissioncomment_en,Doitasunaren iruzkina ingelesez,Comentario de precisión en inglés,Precision comment in English
location,Kokalekua,Localización,Location
locationcomment_eu,Kokalekuaren iruzkina euskaraz,Comentario de localización en euskera,Location comment in Basque
locationcomment_es,Kokalekuaren iruzkina gaztelaniaz,Comentario de localización en castellano,Location comment in Spanish
codecondition,Egoera kodea,Código de condición,Condition code
condition_eu,Egoera euskaraz,Condición en euskera,Condition in Basque
condition_es,Egoera gaztelaniaz,Condición en castellano,Condition in Spanish
condition_en,Egoera ingelesez,Condición en inglés,Condition in English
codetypology,Tipologia kodea,Código de tipología,Typology code
typology_eu,Tipologia euskaraz,Tipología en euskera,Typology in Basque
typology_es,Tipologia gaztelaniaz,Tipología en castellano,Typology in Spanish
typology_en,Tipologia ingelesez,Tipología en inglés,Typology in English
inspectiondate,Azterketa data,Fecha de inspección,Inspection date
codenclaves,Enklabe kodeak,Códigos de enclaves,Enclave codes
enclaves,Enklabeak,Enclaves,Enclaves
municipalities,Udalerriak,Municipios,Municipalities
b5midacts,Aktak,Actas,Acts
landmarknumber,Muga zenbakia,Número de mojón,Landmark number
boundaryline_eu,Muga-lerroa euskaraz,Línea de límite en euskera,Boundary line in Basque
boundaryline_es,Muga-lerroa gaztelaniaz,Línea de límite en castellano,Boundary line in Spanish
b5midut,B5M erregistroaren identifikadorea,Identificador del registro B5M,B5M record identifier
wkt,Geometria (WKT formatuan),Geometría (formato WKT),Geometry (WKT format)
