b5mcode,POI kodea,Código POI,POI code
name,POIaren izena,Nombre del POI,POI name
name_eu,POIaren izena euskaraz,Nombre del POI en euskera,POI name in Basque
name_es,POIaren izena gaztelaniaz,Nombre del POI en castellano,POI name in Spanish
type_eu,POI mota euskaraz,Tipo de POI en euskera,POI type in Basque
type_es,POI mota gaztelaniaz,Tipo de POI en castellano,POI type in Spanish
type_en,POI mota ingelesez,Tipo de POI en inglés,POI type in English
class_eu,POI klasea euskaraz,Clase de POI en euskera,POI class in Basque
class_es,POI klasea gaztelaniaz,Clase de POI en castellano,POI class in Spanish
class_en,POI klasea ingelesez,Clase de POI en inglés,POI class in English
class_description_eu,Klasearen deskribapena euskaraz,Descripción de la clase en euskera,Class description in Basque
class_description_es,Klasearen deskribapena gaztelaniaz,Descripción de la clase en castellano,Class description in Spanish
class_description_en,Klasearen deskribapena ingelesez,Descripción de la clase en inglés,Class description in English
class_icon,Klasearen ikonoa,Icono de la clase,Class icon
category_eu,Kategoria euskaraz,Categoría en euskera,Category in Basque
category_es,Kategoria gaztelaniaz,Categoría en castellano,Category in Spanish
category_en,Kategoria ingelesez,Categoría en inglés,Category in English
category_description_eu,Kategoriaren deskribapena euskaraz,Descripción de la categoría en euskera,Category description in Basque
category_description_es,Kategoriaren deskribapena gaztelaniaz,Descripción de la categoría en castellano,Category description in Spanish
category_description_en,Kategoriaren deskribapena ingelesez,Descripción de la categoría en inglés,Category description in English
category_icon,Kategoriaren ikonoa,Icono de la categoría,Category icon
b5mcode_d,Helbide kodea,Código de dirección,Address code
codmuni,Udalerri kodea,Código municipal,Municipal code
muni_eu,Udalerriaren izena euskaraz,Nombre del municipio en euskera,Municipality name in Basque
muni_es,Udalerriaren izena gaztelaniaz,Nombre del municipio en castellano,Municipality name in Spanish
codstreet,Kale kodea,Código de calle,Street code
street_eu,Kalearen izena euskaraz,Nombre de la calle en euskera,Street name in Basque
street_es,Kalearen izena gaztelaniaz,Nombre de la calle en castellano,Street name in Spanish
house_number,Etxe zenbakia,Número de portal,House number
bis,Bis kodea,Código bis,Bis code
postal_code,Posta kodea,Código postal,Postal code
b5midpoi,POI identifikadorea,Identificador POI,POI identifier
geom,Geometria (puntua),Geometría (punto),Geometry (point)
