field,fieldname_eu,fieldname_es,fieldname_en
GFA_DST_PSI_EW,PSI neurri horizontalak,PSI medidas horizontales,PSI horizontal measurements
b5mcode,PSI kodea,Código PSI,PSI code
url_graphics_psi,PSI grafikoaren URLa,URL de la gráfica PSI,PSI Chart URL
code,Puntuaren kodea edo identifikadorea,Código o identificador del punto,Point code or identifier
utm_x,UTM X koordenatuaren balioa,Valor de la coordenada UTM X,UTM X coordinate value
utm_y,UTM Y koordenatuaren balioa,Valor de la coordenada UTM Y,UTM Y coordinate value
height,Puntuaren altuera,Altura del punto,Point height
autocorr,Autokorrelazioaren balioa,Valor de la autocorrelación,Autocorrelation value
vel,Abiaduraren balioa,Valor de la velocidad,Velocity value
ts_stdev,Denbora-serien desbiderapen estandarra,Desviación estándar de la serie temporal,Time series standard deviation
d20160111,2016ko urtarrilaren 11ko datua,Dato del 11 de enero de 2016,Data from January 11 2016
d20160123,2016ko urtarrilaren 23ko datua,Dato del 23 de enero de 2016,Data from January 23 2016
d20160204,2016ko otsailaren 4ko datua,Dato del 4 de febrero de 2016,Data from February 4 2016
d20160216,2016ko otsailaren 16ko datua,Dato del 16 de febrero de 2016,Data from February 16 2016
d20160228,2016ko otsailaren 28ko datua,Dato del 28 de febrero de 2016,Data from February 28 2016
d20160311,2016ko martxoaren 11ko datua,Dato del 11 de marzo de 2016,Data from March 11 2016
d20160323,2016ko martxoaren 23ko datua,Dato del 23 de marzo de 2016,Data from March 23 2016
d20160404,2016ko apirilaren 4ko datua,Dato del 4 de abril de 2016,Data from April 4 2016
d20160416,2016ko apirilaren 16ko datua,Dato del 16 de abril de 2016,Data from April 16 2016
d20160428,2016ko apirilaren 28ko datua,Dato del 28 de abril de 2016,Data from April 28 2016
d20160510,2016ko maiatzaren 10eko datua,Dato del 10 de mayo de 2016,Data from May 10 2016
d20160603,2016ko ekainaren 3ko datua,Dato del 3 de junio de 2016,Data from June 3 2016
d20160615,2016ko ekainaren 15eko datua,Dato del 15 de junio de 2016,Data from June 15 2016
d20160627,2016ko ekainaren 27ko datua,Dato del 27 de junio de 2016,Data from June 27 2016
d20160709,2016ko uztailaren 9ko datua,Dato del 9 de julio de 2016,Data from July 9 2016
d20160721,2016ko uztailaren 21eko datua,Dato del 21 de julio de 2016,Data from July 21 2016
d20160802,2016ko abuztuaren 2ko datua,Dato del 2 de agosto de 2016,Data from August 2 2016
d20160814,2016ko abuztuaren 14ko datua,Dato del 14 de agosto de 2016,Data from August 14 2016
d20160826,2016ko abuztuaren 26ko datua,Dato del 26 de agosto de 2016,Data from August 26 2016
d20160907,2016ko irailaren 7ko datua,Dato del 7 de septiembre de 2016,Data from September 7 2016
d20160919,2016ko irailaren 19ko datua,Dato del 19 de septiembre de 2016,Data from September 19 2016
d20161001,2016ko urriaren 1eko datua,Dato del 1 de octubre de 2016,Data from October 1 2016
d20161013,2016ko urriaren 13ko datua,Dato del 13 de octubre de 2016,Data from October 13 2016
d20161025,2016ko urriaren 25eko datua,Dato del 25 de octubre de 2016,Data from October 25 2016
d20161106,2016ko azaroaren 6ko datua,Dato del 6 de noviembre de 2016,Data from November 6 2016
d20161118,2016ko azaroaren 18ko datua,Dato del 18 de noviembre de 2016,Data from November 18 2016
d20161130,2016ko azaroaren 30eko datua,Dato del 30 de noviembre de 2016,Data from November 30 2016
