b5mcode,Katalogoko elementuaren kodea,El código del elemento en el catálogo,The catalogue item code
name,Errepidearen izena,Nombre de la carretera,Road name
name_eu,Errepidearen izena euskaraz,Nombre de la carretera en euskera,Road name in Basque
name_es,Errepidearen izena gaztelaniaz,Nombre de la carretera en castellano,Road name in Spanish
type_eu,Errepide mota euskaraz,Tipo de carretera en euskera,Road type in Basque
type_es,Errepide mota gaztelaniaz,Tipo de carretera en castellano,Road type in Spanish
bridge_tunnel,Zubia/tunela,Puente/túnel,Bridge/tunnel
description_eu,Deskribapena euskaraz,Descripción en euskera,Description in Basque
description_es,Deskribapena gaztelaniaz,Descripción en castellano,Description in Spanish
observation_eu,Oharra euskaraz,Observación en euskera,Observation in Basque
observation_es,Oharra gaztelaniaz,Observación en castellano,Observation in Spanish
b5midut,B5M erregistroaren identifikadorea,Identificador del registro B5M,B5M record identifier
b5midname,B5M izen identifikadorea,Identificador de nombre B5M,B5M name identifier
geom,Geometria (lerroa),Geometría (línea),Geometry (line)
