b5mcode,Katalogoko elementuaren kodea,El código del elemento en el catálogo,The catalogue item code
name,Izen ofiziala,Nombre oficial,Official name
name_eu,Izena euskaraz,Nombre en euskera,Name in Basque
name_es,Izena gaztelaniaz,Nombre en castellano,Name in Spanish
synomym,Sinonimoa,Sinónimo,Synonym
type_eu,Mota euskaraz,Tipo en euskera,Type in Basque
type_es,Mota gaztelaniaz,Tipo en castellano,Type in Spanish
type_en,Mota ingelesez,Tipo en inglés,Type in English
class_eu,Kategoriaren izena euskaraz,Nombre de la categoría en euskera,Category name in Basque
class_es,Kategoriaren izena gaztelaniaz,Nombre de la categoría en castellano,Category name in Spanish
class_en,Kategoriaren izena ingelesez,Nombre de la categoría en inglés,Category name in English
origin_eu,Jatorria euskaraz,Origen en euskera,Origin in Basque
origin_es,Jatorria gaztelaniaz,Origen en castellano,Origin in Spanish
origin_en,Jatorria ingelesez,Origen en inglés,Origin in English
codmuni,Udalerri kodea,Código municipal,Municipal code
muni_eu,Udalerriaren izena euskaraz,Nombre del municipio en euskera,Municipality name in Basque
muni_es,Udalerriaren izena gaztelaniaz,Nombre del municipio en castellano,Municipality name in Spanish
heightdifference_m,Desnibela (metroetan),Desnivel (en metros),Height difference (in meters)
length_m,Garapena (metroetan),Desarrollo (en metros),Length (in meters)
massif,Mazisoa,Macizo,Massif
zone,Eremua,Zona,Zone
x_etrs89utm30N,X koordenatua (ETRS89/UTM30N),Coordenada X (ETRS89/UTM30N),X coordinate (ETRS89/UTM30N)
y_etrs89utm30N,Y koordenatua (ETRS89/UTM30N),Coordenada Y (ETRS89/UTM30N),Y coordinate (ETRS89/UTM30N)
altitude_m,Altuera (metroetan),Altitud (en metros),Altitude (in meters)
url_eu,Web esteka euskaraz,Enlace web en euskera,Web link in Basque
url_es,Web esteka gaztelaniaz,Enlace web en castellano,Web link in Spanish
geom,Geometria (koordenatuak espazialak),Geometría (coordenadas espaciales),Geometry (spatial coordinates)
