b5mcode,"Eraikinaren kodea","Código del edificio","Building code"
name,"Udaletxearen izena","Nombre del ayuntamiento","Town hall name"
name_eu,"Udaletxearen izena euskaraz","Nombre del ayuntamiento en euskera","Town hall name in Basque"
name_es,"Udaletxearen izena gaztelaniaz","Nombre del ayuntamiento en castellano","Town hall name in Spanish"
codmuni,"Udalerri kodea","Código municipal","Municipal code"
muni_eu,"Udalerriaren izena euskaraz","Nombre del municipio en euskera","Municipality name in Basque"
muni_es,"Udalerriaren izena gaztelaniaz","Nombre del municipio en castellano","Municipality name in Spanish"
codstreet,"Kale kodea","Código de calle","Street code"
street_eu,"Kalearen izena euskaraz","Nombre de la calle en euskera","Street name in Basque"
street_es,"Kalearen izena gaztelaniaz","Nombre de la calle en castellano","Street name in Spanish"
house_number,"Etxe zenbakia","Número de portal","House number"
bis,"Bis kodea","Código bis","Bis code"
postcode,"Posta kodea","Código postal","Postal code"
b5midnamebuilding,"Eraikinaren izen identifikadorea","Identificador del nombre del edificio","Building name identifier"
b5midut,"B5M erregistroaren identifikadorea","Identificador del registro B5M","B5M record identifier"
b5midaddress,"Helbide identifikadorea","Identificador de dirección","Address identifier"
geom,"Geometria (erdiguneko puntua)","Geometría (punto central)","Geometry (centroid point)"
