field,fieldname_eu
b5mcode,Katalogoko elementuaren kodea
name,Helbide osoa
name_eu,Helbidea euskaraz
name_es,Helbidea gaztelaniaz
type_eu,Mota euskaraz
type_es,Mota gaztelaniaz
type_en,Mota ingelesez
type_name_eu,Izen mota euskaraz (alias
type_name_es,Izen mota gaztelaniaz
type_name_en,Izen mota ingelesez
codmuni,Udalerri kodea
muni_eu,Udalerriaren izena euskaraz
muni_es,Udalerriaren izena gaztelaniaz
codstreet,Kale kodea
street_eu,Kalearen izena euskaraz
street_es,Kalearen izena gaztelaniaz
house_number,Etxe zenbakia
bis,Bis kodea
postcode,Posta kodea
accessory,Osagarria
block,Blokea
coddistri,Barruti kodea
codsec,Atal kodea
name_building_eu,Eraikinaren izena euskaraz
name_building_es,Eraikinaren izena gaztelaniaz
x_cen_etrs89,Erdiguneko X koordenatua (ETRS89)
y_cen_etrs89,Erdiguneko Y koordenatua (ETRS89)
cen_lonlat,Erdiguneko longitudea/latitudea (WGS84)
bbox_lonlat,Bounding box-aren koordenatuak (WGS84)
b5midname,B5M izen identifikadorea
geom,Geometria (erdiguneko puntua)
