field,fieldname_es
b5mcode,Código POI
name,Nombre del POI
name_eu,Nombre del POI en euskera
name_es,Nombre del POI en castellano
type_eu,Tipo de POI en euskera
type_es,Tipo de POI en castellano
type_en,Tipo de POI en inglés
class_eu,Clase de POI en euskera
class_es,Clase de POI en castellano
class_en,Clase de POI en inglés
class_description_eu,Descripción de la clase en euskera
class_description_es,Descripción de la clase en castellano
class_description_en,Descripción de la clase en inglés
class_icon,Icono de la clase
category_eu,Categoría en euskera
category_es,Categoría en castellano
category_en,Categoría en inglés
category_description_eu,Descripción de la categoría en euskera
category_description_es,Descripción de la categoría en castellano
category_description_en,Descripción de la categoría en inglés
category_icon,Icono de la categoría
b5mcode_d,Código de dirección
codmuni,Código municipal
muni_eu,Nombre del municipio en euskera
muni_es,Nombre del municipio en castellano
codstreet,Código de calle
street_eu,Nombre de la calle en euskera
street_es,Nombre de la calle en castellano
house_number,Número de portal
bis,Código bis
postal_code,Código postal
b5midpoi,Identificador POI
geom,Geometría (punto)
