field,fieldname_en
GFA_DST_PSI_EW,PSI horizontal measurements
b5mcode,PSI code
url_graphics_psi,PSI Chart URL
code,Point code or identifier
utm_x,UTM X coordinate value
utm_y,UTM Y coordinate value
height,Point height
autocorr,Autocorrelation value
vel,Velocity value
ts_stdev,Time series standard deviation
d20160111,Data from January 11 2016
d20160123,Data from January 23 2016
d20160204,Data from February 4 2016
d20160216,Data from February 16 2016
d20160228,Data from February 28 2016
d20160311,Data from March 11 2016
d20160323,Data from March 23 2016
d20160404,Data from April 4 2016
d20160416,Data from April 16 2016
d20160428,Data from April 28 2016
d20160510,Data from May 10 2016
d20160603,Data from June 3 2016
d20160615,Data from June 15 2016
d20160627,Data from June 27 2016
d20160709,Data from July 9 2016
d20160721,Data from July 21 2016
d20160802,Data from August 2 2016
d20160814,Data from August 14 2016
d20160826,Data from August 26 2016
d20160907,Data from September 7 2016
d20160919,Data from September 19 2016
d20161001,Data from October 1 2016
d20161013,Data from October 13 2016
d20161025,Data from October 25 2016
d20161106,Data from November 6 2016
d20161118,Data from November 18 2016
d20161130,Data from November 30 2016
d20161212,Data from December 12 2016
d20161224,Data from December 24 2016
d20170105,Data from January 5 2017
d20170117,Data from January 17 2017
d20170129,Data from January 29 2017
d20170210,Data from February 10 2017
d20170222,Data from February 22 2017
d20170306,Data from March 6 2017
d20170318,Data from March 18 2017
d20170330,Data from March 30 2017
d20170411,Data from April 11 2017
d20170423,Data from April 23 2017
d20170505,Data from May 5 2017
d20170517,Data from May 17 2017
d20170529,Data from May 29 2017
d20170610,Data from June 10 2017
d20170622,Data from June 22 2017
d20170704,Data from July 4 2017
d20170716,Data from July 16 2017
d20170728,Data from July 28 2017
d20170809,Data from August 9 2017
d20170821,Data from August 21 2017
d20170902,Data from September 2 2017
d20170914,Data from September 14 2017
d20170926,Data from September 26 2017
d20171008,Data from October 8 2017
d20171020,Data from October 20 2017
d20171101,Data from November 1 2017
d20171113,Data from November 13 2017
d20171125,Data from November 25 2017
d20171207,Data from December 7 2017
d20171219,Data from December 19 2017
d20171231,Data from December 31 2017
d20180112,Data from January 12 2018
d20180124,Data from January 24 2018
d20180205,Data from February 5 2018
d20180217,Data from February 17 2018
d20180301,Data from March 1 2018
d20180313,Data from March 13 2018
d20180325,Data from March 25 2018
d20180406,Data from April 6 2018
d20180412,Data from April 12 2018
d20180424,Data from April 24 2018
d20180506,Data from May 6 2018
d20180518,Data from May 18 2018
d20180530,Data from May 30 2018
d20180611,Data from June 11 2018
d20180623,Data from June 23 2018
d20180705,Data from July 5 2018
d20180717,Data from July 17 2018
d20180729,Data from July 29 2018
d20180810,Data from August 10 2018
d20180822,Data from August 22 2018
d20180903,Data from September 3 2018
d20180915,Data from September 15 2018
d20180927,Data from September 27 2018
d20181009,Data from October 9 2018
d20181021,Data from October 21 2018
d20181102,Data from November 2 2018
d20181114,Data from November 14 2018
d20181126,Data from November 26 2018
d20181208,Data from December 8 2018
d20181220,Data from December 20 2018
d20190101,Data from January 1 2019
d20190113,Data from January 13 2019
d20190125,Data from January 25 2019
d20190218,Data from February 18 2019
d20190302,Data from March 2 2019
d20190326,Data from March 26 2019
d20190407,Data from April 7 2019
d20190419,Data from April 19 2019
d20190501,Data from May 1 2019
d20190525,Data from May 25 2019
d20190606,Data from June 6 2019
d20190618,Data from June 18 2019
d20190630,Data from June 30 2019
d20190724,Data from July 24 2019
d20190805,Data from August 5 2019
d20190817,Data from August 17 2019
d20190829,Data from August 29 2019
d20190922,Data from September 22 2019
d20191004,Data from October 4 2019
d20191016,Data from October 16 2019
d20191028,Data from October 28 2019
d20191121,Data from November 21 2019
d20191203,Data from December 3 2019
d20191215,Data from December 15 2019
d20191221,Data from December 21 2019
d20200102,Data from January 2 2020
d20200114,Data from January 14 2020
d20200126,Data from January 26 2020
d20200207,Data from February 7 2020
d20200219,Data from February 19 2020
d20200302,Data from March 2 2020
d20200314,Data from March 14 2020
geom,Spatial geometry of the point
GFA_DST_PSI_UD,PSI vertical measurements
b5mcode,PSI code
url_graphics_psi,PSI Chart URL
code,Point code or identifier
utm_x,UTM X coordinate value
utm_y,UTM Y coordinate value
height,Point height
autocorr,Autocorrelation value
vel,Velocity value
ts_stdev,Time series standard deviation
d20160111,Data from January 11 2016
d20160123,Data from January 23 2016
d20160204,Data from February 4 2016
d20160216,Data from February 16 2016
d20160228,Data from February 28 2016
d20160311,Data from March 11 2016
d20160323,Data from March 23 2016
d20160404,Data from April 4 2016
d20160416,Data from April 16 2016
d20160428,Data from April 28 2016
d20160510,Data from May 10 2016
d20160603,Data from June 3 2016
d20160615,Data from June 15 2016
d20160627,Data from June 27 2016
d20160709,Data from July 9 2016
d20160721,Data from July 21 2016
d20160802,Data from August 2 2016
d20160814,Data from August 14 2016
d20160826,Data from August 26 2016
d20160907,Data from September 7 2016
d20160919,Data from September 19 2016
d20161001,Data from October 1 2016
d20161013,Data from October 13 2016
d20161025,Data from October 25 2016
d20161106,Data from November 6 2016
d20161118,Data from November 18 2016
d20161130,Data from November 30 2016
d20161212,Data from December 12 2016
d20161224,Data from December 24 2016
d20170105,Data from January 5 2017
d20170117,Data from January 17 2017
d20170129,Data from January 29 2017
d20170210,Data from February 10 2017
d20170222,Data from February 22 2017
d20170306,Data from March 6 2017
d20170318,Data from March 18 2017
d20170330,Data from March 30 2017
d20170411,Data from April 11 2017
d20170423,Data from April 23 2017
d20170505,Data from May 5 2017
d20170517,Data from May 17 2017
d20170529,Data from May 29 2017
d20170610,Data from June 10 2017
d20170622,Data from June 22 2017
d20170704,Data from July 4 2017
d20170716,Data from July 16 2017
d20170728,Data from July 28 2017
d20170809,Data from August 9 2017
d20170821,Data from August 21 2017
d20170902,Data from September 2 2017
d20170914,Data from September 14 2017
d20170926,Data from September 26 2017
d20171008,Data from October 8 2017
d20171020,Data from October 20 2017
d20171101,Data from November 1 2017
d20171113,Data from November 13 2017
d20171125,Data from November 25 2017
d20171207,Data from December 7 2017
d20171219,Data from December 19 2017
d20171231,Data from December 31 2017
d20180112,Data from January 12 2018
d20180124,Data from January 24 2018
d20180205,Data from February 5 2018
d20180217,Data from February 17 2018
d20180301,Data from March 1 2018
d20180313,Data from March 13 2018
d20180325,Data from March 25 2018
d20180406,Data from April 6 2018
d20180412,Data from April 12 2018
d20180424,Data from April 24 2018
d20180506,Data from May 6 2018
d20180518,Data from May 18 2018
d20180530,Data from May 30 2018
d20180611,Data from June 11 2018
d20180623,Data from June 23 2018
d20180705,Data from July 5 2018
d20180717,Data from July 17 2018
d20180729,Data from July 29 2018
d20180810,Data from August 10 2018
d20180822,Data from August 22 2018
d20180903,Data from September 3 2018
d20180915,Data from September 15 2018
d20180927,Data from September 27 2018
d20181009,Data from October 9 2018
d20181021,Data from October 21 2018
d20181102,Data from November 2 2018
d20181114,Data from November 14 2018
d20181126,Data from November 26 2018
d20181208,Data from December 8 2018
d20181220,Data from December 20 2018
d20190101,Data from January 1 2019
d20190113,Data from January 13 2019
d20190125,Data from January 25 2019
d20190218,Data from February 18 2019
d20190302,Data from March 2 2019
d20190326,Data from March 26 2019
d20190407,Data from April 7 2019
d20190419,Data from April 19 2019
d20190501,Data from May 1 2019
d20190525,Data from May 25 2019
d20190606,Data from June 6 2019
d20190618,Data from June 18 2019
d20190630,Data from June 30 2019
d20190724,Data from July 24 2019
d20190805,Data from August 5 2019
d20190817,Data from August 17 2019
d20190829,Data from August 29 2019
d20190922,Data from September 22 2019
d20191004,Data from October 4 2019
d20191016,Data from October 16 2019
d20191028,Data from October 28 2019
d20191121,Data from November 21 2019
d20191203,Data from December 3 2019
d20191215,Data from December 15 2019
d20191221,Data from December 21 2019
d20200102,Data from January 2 2020
d20200114,Data from January 14 2020
d20200126,Data from January 26 2020
d20200207,Data from February 7 2020
d20200219,Data from February 19 2020
d20200302,Data from March 2 2020
d20200314,Data from March 14 2020
geom,Spatial geometry of the point
