field,fieldname_eu
b5mcode,Katalogoko elementuaren kodea
name,Errepidearen izena
name_eu,Errepidearen izena euskaraz
name_es,Errepidearen izena gaztelaniaz
type_eu,Errepide mota euskaraz
type_es,Errepide mota gaztelaniaz
bridge_tunnel,Zubia/tunela
description_eu,Deskribapena euskaraz
description_es,Deskribapena gaztelaniaz
observation_eu,Oharra euskaraz
observation_es,Oharra gaztelaniaz
b5midut,B5M erregistroaren identifikadorea
b5midname,B5M izen identifikadorea
geom,Geometria (lerroa)
