field,fieldname_en
b5mcode,The catalogue item code
name,Toponym name
name_eu,Toponym name in Basque
name_es,Toponym name in Spanish
type_eu,Toponym type in Basque
type_es,Toponym type in Spanish
type_en,Toponym type in English
type_name_eu, aurrekoa edo lehentasunezkoa)
type_name_es, alternativo
type_name_en,Type name in English (alias
codmuni,Municipal code
muni_eu,Municipality name in Basque
muni_es,Municipality name in Spanish
basin_eu,Basin name in Basque
basin_es,Basin name in Spanish
desc_eu,Description in Basque
desc_es,Description in Spanish
desc_en,Description in English
codstreet,Street code
street_eu,Street name in Basque
street_es,Street name in Spanish
house_number,House number
bis,Bis code
postcode,Postal code
accessory,Accessory
block,Block
coddistri,District code
codsec,Section code
name_building_eu,Building name in Basque
name_building_es,Building name in Spanish
x_cen_etrs89,Centroid X coordinate (ETRS89)
y_cen_etrs89,Centroid Y coordinate (ETRS89)
cen_lonlat,Centroid longitude/latitude (WGS84)
bbox_lonlat,Bounding box coordinates (WGS84)
b5midname,B5M name identifier
geom,Geometry (centroid point)
