field,fieldname_es
b5mcode,El código del elemento en el catálogo
name,Nombre del topónimo
name_eu,Nombre del topónimo en euskera
name_es,Nombre del topónimo en castellano
type_eu,Tipo de topónimo en euskera
type_es,Tipo de topónimo en castellano
type_en,Tipo de topónimo en inglés
type_name_eu, alternatiboa
type_name_es,Tipo de nombre en castellano (alias
type_name_en,Tipo de nombre en inglés
codmuni,Código municipal
muni_eu,Nombre del municipio en euskera
muni_es,Nombre del municipio en castellano
basin_eu,Nombre de la cuenca en euskera
basin_es,Nombre de la cuenca en castellano
desc_eu,Descripción en euskera
desc_es,Descripción en castellano
desc_en,Descripción en inglés
codstreet,Código de calle
street_eu,Nombre de la calle en euskera
street_es,Nombre de la calle en castellano
house_number,Número de portal
bis,Código bis
postcode,Código postal
accessory,Accesorio
block,Bloque
coddistri,Código de distrito
codsec,Código de sección
name_building_eu,Nombre del edificio en euskera
name_building_es,Nombre del edificio en castellano
x_cen_etrs89,Coordenada X del centroide (ETRS89)
y_cen_etrs89,Coordenada Y del centroide (ETRS89)
cen_lonlat,Longitud/latitud del centroide (WGS84)
bbox_lonlat,Coordenadas del bounding box (WGS84)
b5midname,Identificador de nombre B5M
geom,Geometría (punto central)
