field,fieldname_eu
b5mcode,Katalogoko elementuaren kodea
name,Toponimoaren izena
name_eu,Toponimoaren izena euskaraz
name_es,Toponimoaren izena gaztelaniaz
type_eu,Toponimo mota euskaraz
type_es,Toponimo mota gaztelaniaz
type_en,Toponimo mota ingelesez
codmuni,Udalerri kodea
muni_eu,Udalerriaren izena euskaraz
muni_es,Udalerriaren izena gaztelaniaz
basin_eu,Arroaren izena euskaraz
basin_es,Arroaren izena gaztelaniaz
desc_eu,Deskribapena euskaraz
desc_es,Deskribapena gaztelaniaz
desc_en,Deskribapena ingelesez
codstreet,Kale kodea
street_eu,Kalearen izena euskaraz
street_es,Kalearen izena gaztelaniaz
house_number,Etxe zenbakia
bis,Bis kodea
postcode,Posta kodea
accessory,Osagarria
block,Blokea
coddistri,Barruti kodea
codsec,Atal kodea
name_building_eu,Eraikinaren izena euskaraz
name_building_es,Eraikinaren izena gaztelaniaz
x_cen_etrs89,Erdiguneko X koordenatua (ETRS89)
y_cen_etrs89,Erdiguneko Y koordenatua (ETRS89)
cen_lonlat,Erdiguneko longitudea/latitudea (WGS84)
bbox_lonlat,Bounding box-aren koordenatuak (WGS84)
b5midname,B5M izen identifikadorea
geom,Geometria (erdiguneko puntua)
